comment,coment_en
harus nunggu viral dulu miris hukum negri konoha tumpul,have to wait for the viral first sad that the Konoha State Law is blunt
yg terhormat ibu kita bagaimana kelanjutannya ibu tidakkah cape dan malu dengan kasus seperti ini kemarin saudara saya yg dibunuh sadis oleh mantan pacarny dan ini terjadi lg di daerah tercinta terkasih yaitu kab pandeglang dengan hal yg serupa hanya berbeda ini masih hidup dan yg pertama meninggal tragis akannya berakhir seperti itu juga tlg di tindak seadilnya jangan bungkam semua org sama dimata hukum ya cuma skrg yg ngebedain kamu punya kekuasaan dan uang tidak nuhun,"The honorable mother is how the sequel is the mother is not tired and ashamed of a case like this yesterday my brother who was killed by his ex -boyfriend and this happened again in my beloved region, the Pandeglang Regency with the same thing, only this is still alive and the first to die tragic ends like that too, not as fairly as possible as the same as the law in the eyes"
bapak,father
namanya gasebagus kelakuannya,His name is a gasebagus of his behavior
keberatan nama jadi kelenger,Objection of the name to be a back
salam olahraga di rutann bang,Greetings sports in detention centers
padahal anak mantan dlh gmn anak gubernur parah nih klo sampai gak dihukum beratbila perlu dikebiri nih bagsat,"even though the former child is a dlh, the governor's child is severe if it is not punished if it needs to be castrated with bagsat"
hukum mati aja min,"just dead law, min"
emang kejari merangkap psikolog kah,indeed the Kejari concurrently a psychologist
lah damai kok gtu yak ga ksian sma korbanyaa toh ini gmnaa si crtnyaa hal kya gni smena d spelein bngtpntesan bnyak yg sring trjdi kyaa gni hukumnyaa sih bcndaa trus,"It is peaceful, how come it's not like this, this is the case, this is the case, this is the case, but I don't have a lot of sring."
kumaha barudakk,Kumaha Barudakk
asli,original
akun pelaku nya bukan bang,the perpetrator's account is not bang
iya,Yes
gaasik akunnya private,the account is private
betul,right
kan emg belakangan ini kasus pandeglang pasti mslh seksual dan seksual,Emg lately the Pandeglang case is definitely sexual and sexual
null ya emang di private tapi dia oknum bejadnya,Null is indeed in private but he's a person
anak pejabat,official child
lapor anggota dewan,Report members of the council
biar dibantu sama mereka,so that they are helped by them
sepertinya kalau abang yang turut masalahnya cepet selesai,"It seems that if you are the problem with the problem, it's resolved"
mohon atensinya atas dugaan oknum jaksa di pandeglang,Please attempt for the alleged prosecutor in Pandeglang
org mana si dia,org which one he
ini bang ig nya,This is the IG
eeee alwi lain fathur bangcatttt,Eeee Alwi Other Fathur Bangcatttt
lagi serius baca komen mlh ngakak baca replyan gni,I'm serious about reading the comments MLH not reading Replyan Gni
kuat bangeeeeet anak yg luar biasa tahun lho,strong bangeeeeet children who are extraordinary years
pelaku dirumah ga si susulin aja dah ama netizen pandeglang abis dah tu,the perpetrators at home don't just follow up with netizens Pandeglang after that
yg berpendidikan itu pada paham kk ama ilmunya cuma kalah sama uang dan jabatan akhirnya mangut jdi ekor,the educated one in the understanding of KK and his knowledge only lost to money and the position finally mangut so tail
bukan saya kak,Not me sis
velvetxandy saya juga sama kesel nya ama admin banyak tingkah mentang anak pejabat giliran kena kasus nanti minta maaf ampe nangis lagi giliran ngelakuin kesalahannya begaya ampe ga punya hati,"My velvetxandy is also the same as the admin and the admin behavior is a lot of children's child, turn to get the case, I will apologize to cry again, it's my turn"
fake,Fake
udah lah bang gausah ngurusin cukup tau dan jadi pendengar aja yg penting gak ngerugiin diri sendiri dan gak libatin lu juga bang,"it's already bang, not to take care of it enough to know and just be an important listener, don't love yourself and don't involve you too, sir"
mending di baca lagi bang biasakan membaca di ancam di sebarkan video porno nya klo gak mau di sebanrin ada syaratnya si cewek di paksa harus jdi pacarnya si diacowok yg memperkosanya,"It's better to read it again, make it a habit to read in the threat on the pornographic video spread if you don't want to be as good as there is a condition that the girl is forced to be a girlfriend who diacowok who raped her"
baca lg bang pelaku memamksa korban untuk jadi pacarnya dgn cara di jebak pakai video korbannya di buat ga sadar,"Read again, the perpetrators memamksa victims to be their girlfriends in a trap using the victim's video made unconsciously"
iqra bacaheran deh suka bikin emosi aja,Iqra Bacaheran likes to make emotions
ngeyeel,Ngeyeel
gas sih bangbtw tutor centang birunga dong,"gas, bangbtw, tutor, check the birunga"
hahaha centang biru sudah biasa centang merah putih luar biasa hidup keadilan usut tuntas bila perlu kandangin se umur hidup pelaku biar tidak ada lagi nn nn lagi yang berkeliaran,"hahaha Check Blue is used to check red and white, the life of justice is complete if necessary, the age of the perpetrators' live"
hhaahaha daripada pusing mikirin hidup bang,"hhaahaha instead of dizzy thinking about life, sir"
aku biasa taunya centong nasi bang jd agak norak yaa,I used to know the rice centong bang so it's a bit tacky
mau ngakak tapi gimnaya wkwk,want to loud but gimnaya wkwk
te bisa d buka dok,te can open the doc
kota pandeglang kota sejuta viral,City of Pandeglang City of a million viral
bang hotman tolong di cek bang siapa tau bisa bantu,"bang hotman please check, bro, who knows, can help"
mari bantu up viralkan,Let's Help Up Virally
jiijikk bgt liat muka itu pelakuu,Jiijikk really see the face of the perpetrator
kasusnya harus dikawal terus min klo gak nanti kasusnya sama kyk kades kemaren,The case must be guarded and then min if the case is the same as the village head yesterday
akhirnyaa di up jugaa semoga segera dapat keadilan untuk mba korban dan untuk pelaku alias alwi husen maolana segera dapat hukuman yg seberat beratnya,"Finally, I will also hopefully can soon be justice for the victim's MBA and for the perpetrators, alias Alwi Husen Maolana, can soon be a severe punishment"
miris bgt astgafirullah tolong bantu pak diusut tuntas kasian korban,sad really astigafirullah please help Mr.
ijin jendral mohon untuk di jadikan atensi,"General permission, please make attention"
gas weh kalo main hakim sendiri gk bisa terpaksa main hakim bersama,"Gas weh if you play the judges, you can't be forced to play judge together"
mukanya kaya sarang burung hantu,his face is like a owl's nest
kebanyakan makan duit haram si,mostly eat illegal money
semoga hukum tidak tumpul ke atas dan runcing kebawah peluk jauh untuk korbannya,Hopefully the law is not blunt up and upwards down the hug away for the victims
kebiri cocok geregett,Conditions are suitable for rash
kalo sampe pelaku ga di hukum dengan semesti nya padahal udah bnyak bukti harus dipertanyakan sih penegak keadilan masih bekerja sesuai sumpah nya ga,"if the perpetrators are not punished with the universe, even though there are already many evidence must be questioned, the enforcement of justice is still working according to the oath"
apa kabar orang pandeglang,How are you Pandeglang
parah banget sich ini kejiwaannya naudzubillahmindzalik,"This is really bad, Naudzubillahmindzalik's psychology"
lu punya duit lu punya kuasa ibarat lu ga ber materi lawan orang yg ber materi,"You have money, you have the power like you don't have material on the opponent"
pandeglang lagiiii,Pandeglang again
ini kek nya pernah redup deh skrg udh ke up lagi tp klo sebelumnya muka si cowo nya di blur dan sempat membela diri gtu memutar balikkan fakta,"This is never dim, now I have been up to up again but before before the face of the guy was blurred and had time to defend himself to turn back the facts"
psikopat wkwk,psychopath wkwk
haaaaah kasus pacaran biasa wtf bro really sampe ngancem apalagi di sebarin video pemerkosaan dan udah tahun masih di anggap kasus pacaran biasa damn sungguh alasan yang tidak masuk di akal sama sekali,"haaaaah the usual dating case wtf bro really until ngancem, especially in spreading the video rape and already the year is still considered a dating case and is really a reason that is not right at all"
tolong di bantu bang hotman,Please help Bang Hotman
biarkan hukum sosmed yg berlaku jentikan jemari netizen akan membuat pelaku dan keluarganya malu turunan,Let the law of social media that apply to stop the netizens' fingers will make the perpetrators and their families ashamed of the derivative
jancook lanangan opo ikuuu,Jancook Lanangan Opo Ikuuu
belum juga usai kasus kemaren ehh sekarang ada lagi ya allah,Not yet after the case yesterday ehh now there is another O Allah
alealwii__ tidak bisa menyebutkan disetting ig nya silahkann ini anak baik nya,"alealwii__ can't mention the IG setting, please this is a good child"
kasian banget sitetehnyaaa yg kuat ya teeeh semoga hukjm diprosesndengan seadil adilnya aamiiin,"Poor, very strong sitteh, yes, I hope the HUKJM will be processed with the fairness of Aamiiin"
mohon dibantu pak,please help sir
miris amaat yaa,"Sad, yeah"
bantu up biar di denger sama hukum,help up to be heard with the law
buktiin kalo sila ke itu memang ada,prove that there is a way to go to it
coba foto pelaku ditampilin siapa tau ada yg ketemu di jalan bisa aja di ajak ngopi seklian karungin,try photos of the perpetrators displayed who knows someone will meet on the road can just be invited to drink coffee
viralkan,viral
hukum secara adil,law fairly
anak mantan pejabat,The son of a former official
bener bener keadilan buat perempuan tu kaya nya uda gaada dehapa perlu demo lagi kaya bulan lalu biar ditanggepin kejaksaanheran gue aslii wkwkw mentang mentang anak pejabatt enak bgt seenaknya sm prempuancelap celup sana sini so banget idup pake duit orangtua ajaa banyak tingkah emgg karna orangtua punya title lo gabisa kena hukum ya jgn kebanyakan tingkah deh didunia mh emang enak shayyy helllowwww gimanaaa kalo besok lo mati,"It's true that justice for women is rich, how do you need a demonstration again last month so that the prosecutor's office is native to me so that the official is really good can't be hit by law, don't do it too much behavior in the world mh really good shayyy helllowwww what if you die tomorrow"
revenge porn saya langsung cek di google min kmaren artinya apa eh mimin baru muncul trus kasus kmren sudah selesaikah dgn harapan si pelaku mempertangung jawabkan atas perbuatannya atau bagaimana min,Revenge porn I immediately checked on Google Min Kmaren meaning what eh mimin just appeared then the KMren case was finished with the hope that the perpetrator was in charge of his actions or how Min Min
kawal trus bang kudel,guard then bang kube
semoga segera mendapatkan keadilan kalaupun tidak hari ini semoga kelak di akhirat semangat,"Hopefully soon to get justice if not today, hopefully later in the hereafter"
pres kudel idolaaa,Pres Idolaaa coup
info info,Info
jaksa jadinya offline gais tanpa di ganti bukan jaksa cewe hahaha,"The prosecutor will be offline gais without being replaced, not a girl prosecutor hahaha"
weh si riski jadi pengacara,Weh the Riski became a lawyer
aje kendor kudel,Aje is sagging the coup
miris asli,Great sad
semoga nanti yg dapet karmanya anak istri sama emak lo bro,"Hopefully later the one who gets the karma's wife and children with your mother, bro"
ngerasa sakit hati bnget sih bacanyaa walaupun bukan org terdekatnya jangan dblur geh min muka tersangkanyaa baturan deweke tah min,"I feel hurt, I don't know, even though it's not the closest person, don't be blurred, min, the face is the suspect"
coba dak eta bengeut si eta ulah sok disensor kabiasaan mun nukaritu disensoran bae naon meren maksudna tah nyaho kabeh jelema ulah disensor min saha sih admina ieu,"Try not to eta, Eta, pretentious, censored in the habits of the habit of the bae naon, the purpose"
butuh di kawal om biar viral,need to be guarded uncle to get viral
harus nunggu viral dulu kali yaa baru rame hmm,"You have to wait for the viral first time, just come together hmm"
tolong di bantu keluarga korban nya ka,please help the victim's family
selama thn lo sakit bngt,during this year you are sick
ker letik indungna ngidam tawon jeng sarang na,Ker Entungna Indungna Ngabam Tawon Jeng Sarang Na
semalam ngobrol sama yg kenal pelaku katanya wajar korban gak dapat keadilan soalnya orang tua pelaku punya kuasa di pandeglang haduh ya allah,"Last night chatting with the perpetrators, said that naturally the victim did not get justice because the perpetrators' parents had power in Pandeglang, O God"
yang gak punya twitter bisa cek di akun ya,Those who don't have Twitter can check on the account
ulah di baturan rok lalaki maen fisik mhteboga polo,Act in Baturan Lalaki Skirt Maen Physical Mteboga Polo
ytta aja sayamah wkwk,ytta just say my long time
katanya negara hukumtapi kok cuakkk,"he said, the state of law was cuakkk"
mentang cowo nya ank mantan pejabat kepolisian ga berani ngsih ke aadilan buat si cewe,"Mentang, the guy is that former police officers don't dare to go to the court for the girl"
hirup di bumi kos kitu komo di aherat eta budak,Inhaled on Kosu Komo Komo in Aherat Eta Slave
harusnya langsung lapor ke kejari pusat atau komnasham dan komnas perempuan pusat,Should immediately report to the Central Kejari or Komnasham and Komnas Perempuan Pusat
kasih keaadilaan dong buat cwe nya,give you a dream for the cwe
nih ig nya guys silahkan yg mau silaturahmi ke parasit satu ini,"Here is the IG guys, please visit this parasit"
mohon d bantu up min,please help up min
tag in nanaskasih tau buat hati di jktnya yabanyak orang gila soalnya,"Tag in pineapple, thank you for the heart on JKT, many people are crazy"
pdg viral nu garoreng bae heran aing,PDG Viral NU Garoreng Bae Wonder Aing
semoga abang bisa membantu agar penegak hukum bisa melek akan hukum,Hopefully you can help so that law enforcers can be literate in the law
emang kudu viral heula ngerakeun pandeglang deui bae,It has to be a viral heula to be able to pandeglang deui bae
f,f
no viral no justice mari kita viralkan netizen yg budiman cc bang,No Viral No Justice Let's Viral Netizens who are dear cc bang
tolong bantu di viralkan demi masa depan korban,Please help violently for the future of the victim
di sogok brpa bu jaksa buset,"in brow, mom, prosecutors buset"
hese tuh ari duit jeng power nu ngomong mah terlebih fungsi si jaksa dessy eta naon sampe ngajak katimu di luar ka korban pake ngajual ngaran atasan na ges di sogok sabaraha sampe sakitu na sampe nitah adik na menta no whatsapp korban dengan dalih salah nulis no wa di kejaksaan haha lucu sekali gimana itu dengan oknum yg seperti itu bikin malu asli,"Hese, Ari money, Jeng Power Nu, said that the function of the prosecutor Dessy Eta Nona until I invited Katimu outside the victim, using the ngaran ngaran Na Ges's boss in the Sabaraha Brack The prosecutor's office is so funny how it is with a person like that makes the original shame"
kawalkawal guys kalau nggak dikawal kaga bakal rungkad guy cc,Kawalkawal guys if not escorted by Kaga will be Rungkad Guy CC
netizen mana nih ada tugass baruu yang harus di up,Which netizen is there a new assignment to be up
kita negara hukumhukum adalah tidak berpihak kemanapun mau itu berdasi berjas berseragam ketika salah maka kasih hukuman yg adil pamasyarakat kecil juga butuh kadilan ketika sidang apapun maka transafaran biar masyarakat tidak suudzon,"We are a state of law law is not in favor of anywhere, they want to have a taste in uniform when it is wrong, then the love of a small penalty is also a fair when any trial is transafaran so that the community is not suudzon"
pngn tau cewenyaaa kasian banget,I know the girls are really sorry
tau kalau pejabat ngga bisa intervensi pada ranah peradilan tapi coba bu rada di bantu pan ibu dekeut sama ibu kajarinya sering satu frame bareng coba deh ibu baca dulu utasnya di twitter kasian bu,"you know that officials cannot intervene in the realm of judiciary, but try to be helped by the mother and you are with the teaching, often one frame together, try to read the uttara on Twitter, ma'am"
nah baca ini geh,well read this geh
ale ketar ketir ga le,Ale Ketar Ga Le Le
ya kali bu diem aja,"yes, ma'am, just stay quiet"
ahir nya di up jugaak,finally it is up
asa asa pelaku na,hope of the perpetrator na
mi chat aja mas murah jangan cekokan segalasama ayam aja hahaha pantes,"Mi Chat, Mas cheap, don't be comparable, just a chicken hahaha, right"
netizen coba cari tau tu muka dakjal satu biasanya netizen pinter pinter,"Netizens try to find out that the face is not one, usually smart netizens are smart"
kumaha pak pengacara minat mantuan,"kumaha sir, a great interest lawyer"
apa harus viral dulu ya,what should be viral first
setiap buka sosial media isinya semua kekerasan kepada wanita rata rata liatnya sakit dadaa tauuu huuhu,"Every opening social media, all of the violence to women is on average seeing chest pain or huuhu"
mohon bantuannya ndan prof,Please help and Prof.
parah inimaaaa,"worse, this is"
pantau,Monitor
bawakeun dukun naon jong ti sumur,Bawakeun Shaman Naon Jong Ti Sumur
mantapnya kuari pandeglang kasusna,Great Kuari Pandeglang Casena
up bro,up bro
bang,Bang
miris dengan hukum keadilan di konoha ini rip,Sadly with the law of justice in Konoha RIP
gila jahat bgt anjr,crazy evil
lapor komandan,Report the Commander
no viral no justice,no viral no justice
lu punya duit lu punya kuasa,you have money you have power
nah kan jaman sekarang harus viral dulu baru satset miris,"well, now, I have to go viral first and then a sad sateset"
saya yakin keluarga pelaku pasti malu sangat semoga kita sennatiasa dilindungi dari hal tidak baik seperti ini,"I am sure that the family of the perpetrators must be very embarrassed, hopefully we will be protected from bad things like this"
wajib hukum rimba,mandatory jungle law
biadabbb,Badiabbb
hukumnya dibuat sesuai kesepakatanpas udah disahkan jadi barang dagangan,the law is made according to the agreement that has been approved as merchandise
pandeglang mana nya nih masih berkeliaran kah tsk nya,Which Pandeglang is still roaming the TSK
pencabulan ko di blur apa karna keluarga pelaku orang terpandang,molestation ko is blurred because the families of the perpetrators are respected
keluarga pelaku nya di up juga biar malu sampe ubun ubun,the perpetrator's family is also up to be ashamed until the crown
hukum seumur hidup ngeri ada org ky gini,law for a lifetime horrified there is a person like this
huhhh belagu dia anak mantan pejabat geh coba geh para pejabat kejari pandeglang ulah sok pilih kasih naon karunya anak batur bapakibu kejari,"huhhh he is not a child of a former official, try geh geh, the officials of the Pandeglang Kejari are pretending"
usut tuntas,thoroughly investigate
piral dlu baru hukum berjalan,pyral dlu new law running
binatang anjing itu org,dog animal
ko bacanya ngeselin y beri motivasi agar move on konyol sekali sedang hancurhancurnya si korban dan klwrga korban bknnya segera dinproses dan dihukum seberatnya pelakunya malah nyuruh memaafkan dan mengikhlaskan proses jg ni oknumnya yg meminta sprti ini,How come you read about the motivation to motivate so that move on silly is being destroyed by the victim and the victim is immediately processed and punished as heavy as the culprit instead tells to forgive and let the process also ask for this person
pgn moveon gmn caranya,Pgn Moveon how do you do it
ga segampang itu brody,not that easy brody
sinetron,soap opera
warga anda tolong urus,Your citizens please take care of
maaf kelakuan dan bahasa lo aja kaya binatang,sorry for your behavior and language just like an animal
miris gitu liatnya,It's sad to see it
punten kalo maling ngaku rame sama aja kalo di tnya ga akan ngaku eh,"Punten, if a thief admits it's the same, if it won't admit it eh"
moal komentar aing lah rek istigfar wae,Moal Comments Aing LAK REC ISTIGFAR WAE
pengen move on juga nih kasi motivasi juga dong the real lu punya uang lu punya kuasa,"I want to move on too, give me motivation too the real you have money you have power"
nama dia alwi husen maolana,His name is Alwi Husen Maolana
udah digembok akunnya,Already padlocked the account
di fb rame ortunya pejabat mkanya korban kya jdi pelaku,at FB Rame his parents were officials who were victims of the perpetrators
buka link twitter yg admin pandeglang kasih jelas jelas itu ada namanya,Open the Twitter link that the admin Pandeglang gives clearly there is a name
oke deh makasih cuy,okay thanks cuy
pasti ada tpi yg ke up kasus ini yg bkin geger pelaku di biarin kek orng ga ada dosa kejaksaan suruh ngikhlasin ke korban,"there must be but the one who goes to this case that can be tantrum the perpetrators, let it be that there is no sin of the prosecutor's office, telling me to the victim"
saat mengancam korban sok gagahtapi ig diprivattenang ada no hpnya distory,"When threatening the victims of pretentious, but IG is private"
waduhh bener bet ya yg laki banyak padahal,"Wow, it's really a lot of men even though"
emang anaknya siapa sih itu anak gtu banget dah,What is his son who is a child really like that
akupadamu mas,Akupadu Mas
yang santri mah santri yang ulama mah ulama sebutan kota santri itu kan karena banyak pondok pesantren bukan berarti semuanya alim bang,the santri mah santri who is the ulama mah ulama as the city of santri is because many boarding schools do not mean everything is pious
setuju hahahaha,agree hahahaha
pelakunya mah udh ditangkep pakcuma proses pengadilannya yg alot,The culprit was caught by the trough court process
tpindi private akunnya,TPINDI Private Account
ga guna bang polisi ama pengadilan sana tunduk ama uangnya ortu pelaku sumpah jijik amat golongan penegak hukum sna dibelit tahun lo disiksa,"not used by the police and the court, there are subject to the money of the parents of the perpetrators of the oath of disgust of the SNA law enforcement group"
kawall guys,Kawall guys
mantap,Excellent
oh budak kidul nyh a,oh slave kidul nyh a
tegar juga sama dam begitu,Tegar is also the same as DAM
sabarr sabar lurr saha si eta sbnr na,Sabarr Sabar Lurr Saha the Eta SBNR NA
bangcatt ceunah,Bangcatt Ceunah
sakola doang tinggi tpi te ba otak,Sakola is high but the brain
udh di japri kan td,udh in japri right
kocak,Hilarious
ada yg cek mah di dikti akuntansi untirta a tapi urang teberani bilang pasti yah,"there are those who check mah at the DIKTI Accounting Untirta A, but urang teberani says for sure"
pindah jadi sipil,move into civilian
pak,Sir
ramein dong jika jeruji besi tidak mampu menghukum pelaku maka sanksi sosial harusnya mampu memberikan pelajaran untuk palaku meskipun tidak setimpal dengan apa yang dilakukannya terhdp korban,"Ramein please if the iron bars are unable to punish the perpetrators, social sanctions should be able to provide lessons for my passion even though they are not worth what they are doing in the victim"
alwi namanya bro,Alwi's name bro
mungkin maksudnya spill akun ig nya,maybe the meaning of the IG account spill
siapa tau ada yg tau ig kakak dn ibunya biar kita silaturahmi,who knows anyone knows Ig brother and his mother so that we will be friendly
btw bapaknya udah mati tapi belom dibikin akte kematiannya min wkwkwkwk,btw his father is dead but not yet made a deed of death min wkwkwkwk
mhasiwa d akuntansi yg dah cuti dri,MHATIWI D Accounting is on leave
akunya ni,he admits this
iya berarti kakau si cewe nya mau mah bukan pemerkosaan wkwkw,"Yes, that means the girl, the girl wants to be not rape, wkwkw"
wkwkwk,Hahaha
lu temennya alwi ye,You're her friend Alwi ye
benerin dulu logikanya,"First, logically"
baca geh kan dipaksa suruh mau jadi pacar kalo kagak mau video disebar aih baca dulu semua baru komen,"Read it geh, you are forced to tell you to be a girlfriend if you don't want a video to spread, read everything, just commented"
cowoknya nyebarin konten asusila tanpa persetujuan si korban dan tujuannya buat mengancam korban blm lagi pelaku jg gaslighting korban supaya bunuh diri dll itu udh tindak kriminal,His guy spreads immoral content without the approval of the victim and his goal to threaten the victim has not been again the perpetrators of the victim's gaslight to commit suicide etc.
gw curiga lu temennya pelaku dan ikut andil dalam pemerkosaan pada korban,I suspect you are the perpetrators' friends and take part in the rape of the victim
iya bener tapi kalo anda bahas ttg mau sama mau adalah bukan pemerksaan disini kayanya salpak alias salah lapak karena in this case memang cewenya adalah korban pemerksaan dan korban prn revenge,"Yes, but if you discuss about wanting to be the same, it is not a rating here, it seems like it is salpak, aka the wrong stall because in this case the girl is a victim of the rating and the victim's Revenge victim"
gassskeunn lahhh pake pete apa jengkol nieee,gassskeunn ​​lahhh using pete or jengkol nieee
serius dm kak aku yg dapet kiriman nya dan centang biru itu kak yusuf yg ngajarin,"seriously sis, I'm the one who got the shipment and check the blue, sis, Yusuf who taught"
nitippp bang,nitippp bang
meta verifikasi ituga permanent lu juga bisa centang biru,Meta verification that permanent you can also check blue
coba gerung ninja lu tuh goy deket kuping pelakunya,"Try your ninja goy, you're slightly near the ears of the culprit"
hidup persib,Life Persib
ngakak aing,Ngakak Aing
nihh pandeglang lagi pandeglang lagii,here Pandeglang is Pandeglang again
goreng geh dia alwiiiii loba gaya jingggg di serbu ku netizen mah mewek dia,fried geh he is alwiiiii loba jinggggy style in my attraction netizens mah mekk him
alm kadis lh katanya sih yo,Alm Kadis lh said yo
up,up
up,up
ril cuy mukanya kya copet,Ril cuy his face Kya Pickpick
iya btul itu info saya dapatkan dri twitter sumber dri kaka korban dan netizen lain memang lah dia tu muka brandal,"Yes, Btul, I got the info from Twitter, the source of the victim and other netizens."
masih ga paham sm biodata doi slide terakhir jurusan doi akuntansi yg lu sebarin di story teknik sipil bang,"still don't understand the biodata of the last slide in the accounting majors that you are spreading in the Story of Civil Engineering, Bang"
info simpang siur banyak sumber yg berbeda intinya doi anak untirta jurusan nya apa ga tau secara specific cek story saya lg untuk liat beberapa postingan kaka korban,"Info Confall Many Different Sources In essence, doi children untirta majoring, don't you know specifically check my story to see some of the victim's posting"
terimakasih bang saya baca sampe selesai kasian banget ya allah,"Thank you, bro, I read it until it's really done, O Allah"
masyaallah saya bantu doa dari sini bang buat korban semoga masalah nya cepet selesai dan mendapatkan keadilan yang setimpal,"MasyaAllah I help pray from here, bro, for victims, hopefully the problem is quickly resolved and get justice that"
astaghfirullah,Astaghfirullah
tahun kenapa tydyd nya ga di potong ajah,Years why the tydyd isn't cut off
wah ga tau masalah itu kn ada jaksa yg menuntut dn hakim yg memutuskan tetapi emang harus d hukum seberat bertanya tanpa harus pandang bulu,"wow, I don't know the problem is that there is a prosecutor who demands a judge who decides but we have to be as hard as asking without having to view fur"
wih gayanya lalolo,Wih Lalolo's style
silahturahmi aja dulu ke medsosnya pelaku,just friendship first to the social media of the perpetrators
nyimak,listen
digembok akunnya,Gaps the account
ikut dari cilegon nih salam olahraga,"join in cilegon, greetings sports"
apa benar,Is it true
katanya ini benar,he said this is true
kalo gapake duit dapet perlindungan ga kak wkwkwk,"if you don't want to get protection, sis"
oh okey,Oh ok
bantu up,help up
bang,Bang
gmna ta tanggapannya bang,"how about the response, sir"
ga kebayang perasaan kaka ny dan orang tua nya,I can't imagine the feelings of Kaka and her parents
bangsatt,BAKATTT
emang apa harus diviralin dulu baru gerak lurus kalo ngga gerak nya suka aja,"what should be divilalin first and then move straight if you don't like it, just like it"
si alwi anj,Si Alwi Anj
ini yah yg kemaren dibahas itu,This was what was discussed yesterday
viral,viral
ko gini ya hukum sekarang,how come this is the law now
trending di twitter min,trending on twitter min
parah si,severe si
muka ngeselin,Ngeelin's face
seremmmm,Ceremmmm
ternyata benget culun beki ngewe,It turned out that the bengek beki beki ngewe
pandeglang emang cakepcakep ceweknya,Pandeglang is really cakepcakep girl
up up up,up up
mukamokondo itu mah,Mukamokondo is mah
tidak hanya pantainya yg kotor tp,not only the beach is dirty but
yuk viralin biar kasusnya segera selesai,let's vialine so that the case is finished soon
gubrak malumaluin kampus ya bener njir,Gubrak Malumaluin Campus is right
astaghfirullah,Astaghfirullah
kenal ga,do you know
netizen harus turun tangan nihh,Netizens have to intervene
pengen gw babat kumis lele lu alwi pake mesin potong rumput,I want to tripe the catfish mustache you Alwi uses a lawn piece
pandeglang rasa ponorogo,Pandeglang Rasa Ponorogo
lgi hangat hangatnya,LGI warm warm
semoga saya bisa di pertemukan dengan beliau di lapangan,I hope I can meet him in the field
anak eks pejabat apa ya kira kira hmmm,What ex -official children do you think hmmm
waduh,Wow
salam olahraga,Greetings sports
org mh spil video nya jgn kasus nya,org mh spil the video don't have the case
jangan sampai lolos pelakunya sekalipun anak pejabat,do not pass the culprit even if the child is an official
udah di up di toktok eh malah dihapus sama apk nya padahal udah k yang nonton yang komen juga banyak,already up in the toktok eh even deleted the APK even though the one who watched the comments was also a lot
sakit bgt dengernya pasti ada ancaman dan ketakutan ya neng karenanya selama tahun kenapa ga berani speak up ini sangat perlu pendampingan secara psikologis untuk mental health korban dan perlindungan terhadap keluarga korban semoga pelaku mendapatkan apa yg sepantasnya tanpa lihat background dari keluarganya pelaku please harus sampai tuntas,"It hurts so much that there must be a threat and fear, so during the year, during the year, why do you not dare to speak up psychologically for the mental health of the victim and protection of the victims' families, hopefully the perpetrators get what they should be appropriate without seeing the background of the family of the perpetrators must be complete"
kawal sampe tuntas,guard until complete
bentar lagi juga minta ampun,Soon I will also ask for forgiveness
butuh bantuan bang,"Need help, sir"
tag langsung orang polda banten nya,Tag directly the Banten Police people
anak pejabat bos,son of boss official
ya allah parah amat semoga pelaku mendapatkan hukuman seberat beratnya semoga anak anak kita selalu dalam lindungan allah serem banget kejadian kaya gitu,"O Allah, very bad, hopefully the perpetrators will get a severe punishment, hopefully our children will always be in the protection of Allah so scary"
buyan,Buyan
kawal terussss sampe tuntas,Guard Terussss until complete
anak anjingggg,Anjinggggg child
pap dong hehe,"Pap, hehe"
sanksi sosial udh dapet sanksi hukum otw tinggal nunggu sanksi akherat,"Social sanctions have got the legal sanctions for OTW, just waiting for the hereafter"
muka sama kelakuan sama sama berantakan,faces with the same behavior as a mess
baca geh,read geh
siksa neraka jahanam untuk orangorang yg melindungi tersangka,The torture of hells for people who protect the suspect
emang yak anak yteam mah ngeselin,it's really a child who is annoying
viralkan tuntut dan dapatkan keadilan seadil adilnya,Viringisan demands and get justice as fair as its fairness
pdhl pelajar tpi kurang ajar cuuaakkss,pdhl student but insolent cuuaakksss
virall proses pasti cepat,VIRALL process must be fast
apa harus viral dl bru d tindak nih anak,what should be viral in my child
astagfirullah mulutku,Astagfirullah my mouth
tegakan keadilan woyy,Woyy justice stands
opet,OPET
duh mahasiswa nya terkenal nih,duh the student is famous
ahhh elahhh tumpull amaat,ahhh elahhh pile amaat
pak tolong korban berikan rasa ke adilan,"sir, please give the victim to give a sense"
kalo udh ketangkep tolong titipin balsem geliga yg hot sama hot in cream dong terus kasihin ke tahanan yang satu sel sama dia,"If you have been caught, please leave the hot balm, hot with hot in cream and keep love"
mohon di bantu bang,"please help, sir"
anak pejabat bebas so berkuasa hahhahaha anjingggg,the son of the free official so powerful hahhahaha anjinggggg
korbannya siapa,whose victim is
semoga bang bangahmadsahroni,Hopefully Bang Bangahmadsahroni
masuk penjara kayaknya kelar nih anak dihabisin ama kepala kamar tiap malem,Going to prison seems to be finished the child is finished with the head of the room every night
nih org nya spil aja,here is the spil
pak tolong kasus,"Sir, please case"
