media,user_name,mention_name,day,like_comment,comment,cont_of_reply,reply_comment_name,username_reply,comment_en,Polarity,Analysis,emotion
infopandeglang,astakalabiantara,@kejaripandeglang,2 hari,6,"Ini udah viral di dunia maya, daripada institusi tercoreng karena satu dua oknum, lebih baik segera perbaiki dan bekerja dengan jujur, ingatlah sumpah jabatan kalian kepada Tuhan YME. Tolong atensi dan bantuannya, cc.",0,,,"This is already viral in cyberspace, rather than the institution tarnished because one or two elements, it's better to immediately improve and work honestly, remember your oath of office to God. Please attention and help, cc.",0.55,Positive,disgust
infopandeglang,afiii.mf,@kejaksaan.ri,2 hari,6,Mohon juga diaudit unit kerja di daerahnya atas kasus ini. Cc.,0,,,Please also be audited by work units in the area for this case. CC.,0.0,Neutral,joy
infopandeglang,mfajarssyam,,2 hari,6,Hukum mati !,0,,,Dead Law!,-0.25,Negative,positive
infopandeglang,ridwanmuhammad_22,@irnadimyati,2 hari,6,Tolong bantu kasus ini Pakkk ‼️‼️‼️,0,,,Please help this case Pakkk‼ ️‼ ️‼ ️,0.0,Neutral,surprise
infopandeglang,selenophiland,@irnadimyati,2 hari,6,"Tolong pantau kasusnya bu, kasian korbannya 😢",0,,,"Please monitor the case ma'am, sorry for the victims 😢",-0.5,Negative,trust
infopandeglang,rahadiansyah7,@infopandeglang,2 hari,6,Kawal terus min,0,,,Kawal continues Min,0.0,Neutral,positive
infopandeglang,ismarosmiyanti22,,2 hari,6,Jangan sampe memalukan pandeglang lagi,0,,,Don't embarrass Pandeglang again,0.0,Neutral,negative
info.banten,96_hitsuji,,1 hari,6,"Kawal ampe bui, nitip sama penjaga lapasnya jangan lupa dikenalin sama senior lapas nya kalo ni anak tukang nyabulin anak orang. Biar jadi bahan bulan2an tahanan senior🔥",0,,,"Guard until jail, nitip with the prison guard, don't forget to be known by the senior prison if this is a child of a rulin person. Let it be a material for senior prisoners",-0.1,Negative,sadness
pandeglangeksis,fathul_a.m,,6 jam,6,Gua lebih percaya messi lahir di labuan,0,,,I believe in Messi Born in Labuan,0.0,Neutral,anger
infopandeglang,llinkarr,,2 hari,6,"Alwi Husen Maolana, gue ulangi lagi nama dia Alwi Husen Maolana.",0,@in_6912,jujun_feb,"Alwi Husen Maolana, I repeat the name of her Alwi Husen Maolana.",0.0,Neutral,fear
infopandeglang,erulsah,@tanwiruljojo,2 hari,6,"udh diganti sekarang bg, kota wisata.. miris",0,,tanwiruljojo,"has been replaced now, tourist city ... sad",-0.5,Negative,negative
infopandeglang,tikka_aquariuss,,2 hari,6,org mna a cowonya,0,@aziz.khakim,aziz.khakim,org mna a cow,-0.133333333,Negative,sadness
infopandeglang,shifa_anggra8.16,,2 hari,6,"coba lapor sama nih anak bupati tapi beliau gercep sama masalah begini, gue pernah Mak DM beliau eh d balas oleh stafnya dan Alhamdulillah ada jalan baik dr pihak pemerintah",0,@fitri.handayani05_,fitri.handayani05_,"try to report the same as the regent's child but he gets the same problem like this, I once dm he eh d reply by his staff and thank God there is a good way from the government",0.233333333,Positive,trust
infopandeglang,ayiii4_,,2 hari,6,"Iya keluarga nya berseragam liat ditweet, jaksa+kejari pdg cuma respn 'memaafkan/km hrs bijaksana/mengikhlaskan'",0,,putrimey21_,"Yes, his family is uniformed in the tweet, prosecutors+PDG Kejari only response 'forgive/km must be wise/let' 'let'",0.0,Neutral,fear
infoserang,celcius_fahrenheit_degree,,1 hari,6,"komen elu salah bob.. Seolah olah elu melegalkan perbuatan si pelaku krn ada kalimat elu yg bunyi suka sama suka.. Itu perempuan di buat ga sadar dan si pelaku dgn mudahnya rekam dan rudapaksa,,cb d pikir dmn sisi suka sama sukanya deh.. Cba gw mau tau kl kel lu yg alamin begini masih bisakah lu ketawa atau komen kaya gtu.. Miris laki laki kow ga ada empati sama sekali...",0,@agung_cahyana28,agung_cahyana28,"The comment is wrong bob ... as if you legalize the act of the perpetrator because there is a sentence that sounds like the same love ... it is a woman made unconscious and the perpetrator easily records and is forced, cb d thinks with the side likes to like it. . CBA I want to know if you are the one who alamin like this still can you laugh or comment like that ... sad that men don't have empathy at all ...",-0.00952381,Negative,negative
infoserang,ratuade,,1 hari,5,Sakit'jiwa tuh orang naudzubillah.... jauhkan lah anak anak cucu kami dari hal2 yang tercela,0,,,Sick'wiwa is a naudzubillah person .... keep our children and grandchildren from the despicable things,-0.714285714,Negative,sadness
netizenserang,sahrodin_ks,,1 hari,5,Duite laka hukum pasti laka,0,,,Duite Laka Legal Definite,0.1,Positive,negative
netizenserang,adistade,,1 hari,5,Ada kekerasan seharusnya memang bisa di laporkan .. bukti chatt juga itu bisa buat bukti karena ada pengancaman . . Pak lisi tolong bergerang jgn tunggu viral dulu,0,,,"There is violence that should indeed be reported .. Chatt proof can also make evidence because there is a threat. . Mr. Lisi please move, don't wait for the viral first",0.25,Positive,anger
bantenraya,marifatul_dzikri,,1 hari,5,Yg janggal prose sidangnya yang saya baca di Twitter,0,,,The odd process of the trial that I read on Twitter,-0.166666667,Negative,fear
infopandeglang,mufidansori,@irnadimyati,2 hari,5,Ayo kita kawal jangan sampe lolos...,0,,,Let's escape not to escape ...,0.0,Neutral,negative
infopandeglang,wildanmutaqin_,@jokowi,2 hari,5,"Pak jokowi tolong pak bu jangan menutup mata, bantu kasus ini",0,,,"Mr. Jokowi, please sir, don't close your eyes, help this case",0.0,Neutral,positive
infopandeglang,dede.rusli70,@irnadimyati,2 hari,5,BU Irna mungkin bisa ikut membantu warga ibu,0,,,Mrs. Irna might be able to help the citizens of the mother,0.5,Positive,trust
infopandeglang,sugandalaksana,,2 hari,5,Untuk apa adanya hukum kalo tidak bisa menegakkan keadilan?,0,,,For what is the law if you can't uphold justice?,0.0,Neutral,fear
infopandeglang,febi_kl,@kejaripandeglang,2 hari,5,Kumaha ibu? 😬,0,,,Kumaha Mother? 😬,0.0,Neutral,positive
infoserang,atosupriyanto4,@matanajwa,1 hari,5,h,0,,,h,0.0,Neutral,positive
info.banten,edi.nugroho17,,1 hari,5,pengadilan sama kejaksaannya diusut jg gak sih?,0,,,The court and prosecutor are also investigated too?,0.0,Neutral,trust
info.banten,wahyu.bic.bmc,,1 hari,5,"Viralin min Tag""n pihak berwenang kalo udh viral baru pada lurus",0,,,"Viralin min tag ""n the authorities if the new viral is straight on the straight",0.178787879,Positive,anticipation
info.banten,doc.mad_rudi,,1 hari,5,"Bagus, tidak diblur pelakunya👏👏👏",0,,,"Good, not blurred by the culprit👏👏👏",0.7,Positive,positive
info.banten,agoes_totot,,1 hari,5,"Gak 1dup loe tong kl ade w yg d gituin , lagian juga d laporin malah percuma , biar w aj yg d penjara kl sampe ade w d gituin sama orang2 B4ngs47 kyk itu",0,,,"Not 1Dup you are a barrel if you want to be like that, anyways, I also reported it, so that the prison was in the prison until I was in the same person with the people, so",0.0,Neutral,trust
pandeglangeksis,emuamarslimaida,,5 jam,5,Tidak usah perhalus minta damai dengan kata teruskan hidup alias move on. Tanpa disuruh juga korban sudah berjuang!,0,,,No need to pay attention to peace with the word life alias move on. Without being told to have also struggled the victim!,-0.09375,Negative,anger
info.banten,amrilkasman73,@listyosigitprabowo,1 hari,5,h,0,,,h,0.0,Neutral,fear
infopandeglang,ismarosmiyanti22,,2 hari,5,YAAHHH DIPRIVATE,0,@tanwiruljojo,tanwiruljojo,Yaahhh is private,0.0,Neutral,negative
infopandeglang,panggil_ham,,2 hari,5,tolong dong nama akun bu jaksa sama bu kejari nya dilampirkan agar kita bisa bersilaturahmi,0,@tanwiruljojo,tanwiruljojo,"Please, please name the prosecutor's account with her, the Kejari is attached so that we can stay in touch",0.0,Neutral,sadness
infopandeglang,inpopandeglang,@dlh.pandeglang,2 hari,5,anak mantan Kepala dlh bapakny udh metong,0,@latief_intan,latief_intan,"the son of the former head of DLH, Mr. Udh Metong",0.0,Neutral,fear
infopandeglang,llinkarr,@alealwiii,2 hari,5,nama nya Alwi Husen Maolana. kalo mau mampir ig nya ini,0,@latief_intan,latief_intan,His name is Alwi Husen Maolana. if you want to stop by this IG,0.0,Neutral,positive
infopandeglang,xf_vtyq,@irnadimyati,2 hari,5,h,0,@aziz.khakim,aziz.khakim,h,0.0,Neutral,trust
infopandeglang,rndrean_,@dony_ferdianto,2 hari,5,"kalo hukum sama pemerintahan nya gak bobrok mungkin udah maju bang,",0,,dony_ferdianto,"If the law and the government are not dilapidated, maybe already advanced, sir,",0.4,Positive,fear
infopandeglang,miladewi93,,2 hari,5,Viralin ka biar dikeluarin sekalian dari kampus,0,,lisnaryu,Viralin ka to be released all from campus,0.0,Neutral,positive
infopandeglang,fidzsidik99,,2 hari,5,Alwi anak akutansi D3 Untirta bukan sih..,0,,d.daeseaa,Alwi Children's D3 Accounting Untirta isn't it ...,0.0,Neutral,trust
infoserang,ayunasn,,1 hari,5,itu kan tertera nama di slide terakhir,0,@dimaspashaofficial,dimaspashaofficial,That's the name in the last slide,0.0,Neutral,anger
infoserang,dimaspashaofficial,,1 hari,5,"Terimakasih Infonya, Semoga semuanya terselesaikan dengan baik",0,@inpopandeglang,dimaspashaofficial,"Thank you for the info, I hope everything will be resolved well",0.0,Neutral,disgust
infoserang,sibgo.halim,,1 hari,5,Ini maksudnya nanya anaknya siapa kan? Bukan nama anak nya siapa?,0,@dimaspashaofficial,dimaspashaofficial,"Who means asking his son, right? What's not the name of the child?",0.285714286,Positive,fear
infoserang,x.sin2,,1 hari,5,"kalo gak salah ni bocah bapaknya LH. backingan nya kuat, pantes aja kasusnya gak dikupas tuntas",0,@dimaspashaofficial,dimaspashaofficial,"If I'm not mistaken, this is the boy. the backing is strong, just wonder the case is not thoroughly peeled",0.433333333,Positive,negative
infoserang,agung_cahyana28,,1 hari,5,tapi pemerkosaan itu kan dalam artian d paksa walaupun sama cowo nya sendiri begitu bukan sih wkwkwkw,0,@im.meld,agung_cahyana28,But rape is in the sense of being forced even though the same guy himself is not so wkwkwkw,-0.15,Negative,sadness
infoserang,nurlitaaris,,1 hari,5,malah ketawa gak punya empati banget jdi orang,0,@agung_cahyana28,agung_cahyana28,"In fact, laughing doesn't have empathy so people",0.0,Neutral,surprise
infoserang,eka_1317,,1 hari,4,Gak kebayang mental korban ancurnya kaya apa 😢 apalagi orang tuanya😢,0,,,I can't imagine the mentality of the victims of the rich rich 😢 especially his parents 😢,0.25,Positive,positive
infoserang,nhzijah_,,1 hari,4,"Obsesinya ngeri bgt njirr, astaghfirullah. Lanang kek gitu mesti di pasung sih terus di simpen di kandang harimau.",0,,,"His obsession was very horrified, Astaghfirullah. Lanang Kek like that must be in Pasung, and then keep it in the tiger cage.",0.2,Positive,trust
infoserang,anbu1238028,,1 hari,4,"Gw lebih miris liat yg salah satu komen dsni malah ngetik ""orang mh spill videonya bukan kronologi nya"" Stresss emang",0,,,"I'm more sad to see that one of the comments DSNI is typing ""people mh spill the video is not the chronology"" stress",0.0,Neutral,anger
infoserang,musabigmad,,1 hari,4,"Sesungguhnya pacaran itu Haram, apa lagi sampe maksa Gini ajg",0,,,"Actually dating is haram, what's more until it is forced",0.066666667,Positive,disgust
infoserang,nongnenny_serang,,1 hari,4,"Ya Allah kasian bgd psti tekanan batin sikorbannya..mana si Alwi ini semena2 bgd sama sikorban dihajar dijambak..astagfirullah org tua mana yg rela anak perempuannya diperlakukan kek binatang,udh pke kekerasan parah itu MH si Alwi anak akuntansi Untirta cba ada yg kenal ga siihh,psikopat apa yahh..🙌",0,,,"O Allah, sorry for the inner pressure of the sisterban sister ... where is this alwi arbitrarily the same as the sikorban beaten. siihh, what psychopath is yahh..🙌",-0.15,Negative,fear
netizenserang,sarwan_elmi,,1 hari,4,Stay halal guys🔥🙌,0,,,Stay halal guys🔥🙌,0.0,Neutral,negative
bantenraya,ichaarsa14_,,1 hari,4,Jgn di blur min,0,,,Don't blur,0.0,Neutral,sadness
infopandeglang,taufikawami,@irnadimyati,2 hari,4,"Undang undang di buat untuk melindungi pihak korban, dan sebagai landasan korban dalam mencari ke adilan, lalu bagaimana dengan penegak hukum yang sepertinya kurang paham dalam undang undang? Sebaiknya di adakan perombakan para penegak hukum ini",0,,,"The law was made to protect the victim, and as the foundation of the victim in finding to the following, then what about law enforcers who seemed to be less understanding in the law? Preferably an overhaul of these law enforcers",-0.079166667,Negative,trust
infopandeglang,nuna_rafasyahla92,@irnadimyati,2 hari,4,BU ...tolong di read bu..,0,,,Ma'am ... please read ma'am ..,0.0,Neutral,positive
infopandeglang,asendnrf,,2 hari,4,Nitizen ayok kerja jgn ksi kendor🔥🔥,0,,,Nitizen ayok work do not ksi saggy🔥🔥,0.0,Neutral,anticipation
infopandeglang,donimaulana.27,@hotmanparisofficial,2 hari,4,h,0,,,h,0.0,Neutral,joy
infopandeglang,donimaulana.27,@hotmanparisofficial,2 hari,4,h,0,,,h,0.0,Neutral,positive
pandeglangeksis,albirachman,,5 jam,4,Kejaksaan Pandeglang tercoreng.......si oknum PLANGA PLONGO....di gaji rakyat itu untuk melayani rakyat...bukan buat gaya gayaan.......OTAKNYA DI PAKE YA..,0,,,The Pandeglang Prosecutor's Office is tarnished ...,0.0,Neutral,fear
pandeglangeksis,aldireihanbugar,,5 jam,4,"Mau tanya, apa hubungannya tugas Kejari dengan memberikan motivasi pada korban? 😢",0,,,"Want to ask, what is the relationship between Kejari's task by giving motivation to the victim? 😢",-0.075,Negative,negative
pandeglangeksis,yullia.sharma,@ustadzabdulsomad_official,3 jam,4,"Pak ustad nih liat pak ustadz petinggi di Pandeglang kaya gini, kemarin kan pak UAS bilang Pandeglang kota santri, tapi liat pak , kelakuan nya pada kaya gini, kasih paham pak ustadz. ,",0,,,"Pak Ustad, see the Ustadz Ustadz in Pandeglang like this, yesterday, Mr. UAS said Pandeglang City of Santri, but see, sir, his behavior was like this, gave me to understand Mr. Ustadz. ,",0.0,Neutral,sadness
infopandeglang,wikeznufus,,2 hari,4,dari sorotan matanya ngeriiii banget,0,@tanwiruljojo,tanwiruljojo,from the spotlight of his eyes really excited,0.375,Positive,fear
infopandeglang,kiboymaulanaaa,,2 hari,4,Jangan percaya 'katanya' mas.,0,,tanwiruljojo,Don't believe 'he said' Mas.,0.0,Neutral,negative
infopandeglang,pacarmin9yu__k,@he1nz__,2 hari,4,kalau mau mampir ke second acc nya itu,0,@llinkarr,latief_intan,if you want to stop by the second acc that,0.0,Neutral,sadness
infopandeglang,akbar_vinsmoke,@dony_ferdianto,2 hari,4,mending viralin tu jaksa nya biar copot jabatan,0,,dony_ferdianto,Better Viralin the Prosecutor to Remove the Position,0.5,Positive,anticipation
infopandeglang,fseptiansputra,@alealwiii,,4,monggo silaturahmi.,0,@belladmyntiiiiiii,fseptiansputra,Monggo friendship.,0.0,Neutral,joy
infopandeglang,anugraha.d,,2 hari,4,"Di data pddikti ni anak statusnya hilang, cuti sejak 2021....",0,,lisnaryu,"In the PDDIKTI data, the child's status is missing, leave since 2021 ....",-0.2,Negative,positive
infopandeglang,iismasriah,,2 hari,4,anak alm. Mantan Kadis LH,0,@fitri.handayani05_,fitri.handayani05_,Alm Child. Former Head of LH,0.0,Neutral,anticipation
infoserang,velvetxandy,,1 hari,4,kesel banget kayanya admin,0,@inpopandeglang,dimaspashaofficial,really rich admin,0.375,Positive,joy
infoserang,yodie7,@alealwii,1 hari,4,"nih bang, IGnya dan ini link Facebook nya 👉🏻 https://www.facebook.com/alweec?mibextid=ZbWKwL",0,@dimaspashaofficial,dimaspashaofficial,"Here, sir, the IG and this is the Facebook link 👉🏻 https://www.facebook.com/alweec?mibextid=zbwkwl",0.0,Neutral,positive
infoserang,_xabstrax,,1 hari,4,darurat membaca,0,@agung_cahyana28,agung_cahyana28,emergency reading,0.0,Neutral,anger
infoserang,emuamarslimaida,,1 hari,4,"Kau sendiri sudah tahu kalau suka sama suka bukan perkosaan. Di luar itu ya artinya perkosa, dipaksa, dijebak, ditipu, dikasih hal tertentu sampai tidak sadar tanpa izin pihak wanita dong. Pertanyaanmu seperti SDM rendah saja.",0,@agung_cahyana28,agung_cahyana28,"You yourself already know that if you like it, it's not rape. Beyond that, it means raping, forced, trapped, cheated, given certain things until unconscious without permission from the woman. Your question is like low HR.",-0.071428571,Negative,fear
infoserang,gurenichinosee111,,1 hari,4,"baca lagi beg0, minimal otak lo dipake jangan dianggurin.",0,@agung_cahyana28,agung_cahyana28,"Read again beg0, at least your brain uses not to be unemployed.",-0.3,Negative,negative
infoserang,romapcy,@nasi_liwet_tangerang,1 hari,4,malah mikirin centang biru😂,0,,myusuf.insta,instead thinking check blue😂,0.0,Neutral,sadness
infoserang,chen.ling23,@hotmanparisofficial,1 hari,3,Yuk di up call 911 Bang biar bisa dibantu penanganannya,0,,,Come on on the 911 bang up call so you can help the handling,0.0,Neutral,positive
infoserang,riskaarian,,1 hari,3,"Semoga adiknya dikuatkan selalu untuk bangkit, semoga Allah kasih jalan terbaik",0,,,"I hope his sister will always be strengthened to rise, may Allah give the best way",1.0,Positive,trust
infoserang,apip_family,,1 hari,3,Kawalll terusss netizen. 🔥🔥,0,,,Kawalll Tulasss Netizen. 🔥🔥,0.0,Neutral,trust
infoserang,luberzky_,,1 hari,3,Untirta lagi susah payah naikin branding nya eh langsung di ulti sma ni anak .,0,,,Untirta is struggling to ride his branding eh directly in the ulti of this child's high school.,0.13,Positive,trust
infoserang,rifki_elmauli,,1 hari,3,"Coba bedah instansi nya, instansi tersebut adalah lahan basah untuk cuan,lu punya duit KELAR!! UU tydack berlaku 🙌",0,,,"Try the agency surgery, the agency is a wetland for cuan, you have money finished !! Tydack Law is valid 🙌",0.0,Neutral,anger
infoserang,iamfaxx,,1 hari,3,Relationship yg positif itu perlu entah dari pertemanan ataupun hubungan seperti itu. Sangat miris sekali ya akhir² ini kebanyakan kasus seperti itu😢,0,,,"Positive relationships are necessary from friendship or such relationships. Very sad, lately, most cases like that😢",0.015454545,Positive,fear
infoserang,ismt_gibrann,,1 hari,3,Hadeh pendeglang maning bae,0,,,Hadeh pendeglang maning bae,0.0,Neutral,sadness
netizenserang,gpufarm,,1 hari,3,Jadi orang kok jahat banget ya,0,,,So how come people are so bad,-0.7,Negative,positive
infopandeglang,ilhamfnb,,1 hari,3,Viral dlu baru usut ygy ⛓,0,,,Viral Dlu New Investigate YGY ⛓,0.136363636,Positive,anticipation
infopandeglang,mikdadiqbal92,,1 hari,3,Nitip kuhp pasal 386 🙌,0,,,Nitip KUHP Article 386 🙌,0.0,Neutral,disgust
infopandeglang,glngfrzky,,1 hari,3,"Hadirkan dong terdakwa pakai baju Belanda, biar jelas awokwkwkw",0,,,"Present the defendant wearing Dutch clothes, so it is clear Awokwkwkw",0.05,Positive,fear
infopandeglang,bangari1986,,1 hari,3,"Semoga taat hukum... Dan menyadari atas kesalahannya, dan tak kan terulang kembali.",0,,,"Hopefully obey the law ... and realize the mistakes, and will not be repeated.",0.0,Neutral,negative
infopandeglang,tanjunglesung_id,,1 hari,3,"Issue nya akan hilang, tapi korban akan menanggung trauma seumur hidup mental nya hancur.. Maka hukuman maksimal 6 tahun tidaklah sepadan. Hukuman Apa kira kira yang layak untuk pelaku ? Bantu jawab wahaiii netizen yg budiman🙏",0,,,"The issue will disappear, but the victim will bear the trauma of his mental life is destroyed ... then a maximum sentence of 6 years is not commensurate. What punishment is it worthy of the perpetrators? Help answer dear netizens, dear netizens",0.052777778,Positive,positive
bantenraya,hanifan92,,1 hari,3,Apakah adminnya membela tersangka?? Kok melindungi wajah tersangka ??,0,,,Does the admin defend the suspect ?? How come protect the face of the suspect ??,0.0,Neutral,trust
bantenraya,oneto2234,,1 hari,3,"Untuk kaum hawa, Lebih baik diam dirumah. Kalo ada apa2 coba segera ungkapkan ke pihak2 terdekat. Agar tidak beruntun mendapatkan perlakuan yang seperti ini",0,,,"For women, it's better to stay at home. If there is anything, try to immediately reveal to the nearest parties. So as not to strengthen the treatment like this",0.5,Positive,positive
bantenraya,bro_arsall,@hotmanparisofficial,1 hari,3,Mohon bantuannya bang 🙏🥺 semoga segera di respon🙏🥺🥺🥺🥺 bantu tag dan kawal terus netizen🙏 jangan sampai ada kata damai dan jangan sampai pelaku di hukum ringan karena benar2 perilaku bejatnya dan tidak manusiawi🥺 semoga buat korban dan keluarga di beri kesabaran ketabahan dam kekuatan🙏💪,0,,,"Please help, bang 🙏🥺, hopefully it will be responded soon. Dam strength itself",0.0,Neutral,trust
infopandeglang,americano4.0,@infopandeglang,2 hari,3,KAWAL TERUS MIN!!,0,,,Continue to guard Min !!,0.0,Neutral,negative
infopandeglang,hattraaaa,,2 hari,3,ramein dong sidang tuntutannya besok!,0,,,"Ramein, the hearing is the demand tomorrow!",0.0,Neutral,positive
infopandeglang,wildanmutaqin_,@mahardhikakita,2 hari,3,tolong di bantu ka,0,,,Please help you,0.0,Neutral,negative
infopandeglang,exsnow_,,2 hari,3,UPPPPPP TERUS TETEP PANTAU!!!! HUKUM SEADILADILNYA!!!,0,,,UPPPPPP keeps monitoring !!!! LAW SADILADILED !!!,0.0,Neutral,sadness
infopandeglang,slstri13,@irnadimyati,2 hari,3,"tingali atuh bu, masa dibiarkan begitu saja",0,,,"tingali or ma'am, the time is left alone",0.0,Neutral,positive
infopandeglang,mu_lianingsih,,2 hari,3,"Ini pelaku yang mahasiswa untirta? Plisss emang kayanya si cowok piskopat juga dari kata² chatnya. Walaupun emang hukum ini bisa di bilang belum adil, tapi hukum Allah pasti adil teh. Hal kaya gini mana bisa di ikhlasin, wkkw enak bgt tuh yg bilang mending di maafin, di ikhlasin. Semoga ada orang baik dan adil yang bisa menegakkan keadilan di Pandeglang;)",0,,,"This is the perpetrator who is a student of Untirta? Plisss is indeed the rich of the piskopat guy also from the words of his chat. Although this law can be said to be not fair, but God's law must be fair tea. How can this be sincere, how come it's really good who says it's better to be forgiven, Ikhlasin. Hopefully there are good and fair people who can uphold justice in Pandeglang;)",0.452777778,Positive,disgust
infopandeglang,ratujenny,@irnadimyati,2 hari,3,Bu coba dilihat sebentar 😢,0,,,Ma'am try to look briefly 😢,0.0,Neutral,negative
infopandeglang,pak_rtsebelah,@unikinfo_id,2 hari,3,"bisa kali min nih, soalnya jaman sekarang apa apa harus viral dulu",0,,,"can this time, because today is what should be viral first",0.25,Positive,sadness
infopandeglang,r.nii7_,,2 hari,3,Geram bangt sama hukum di pdg hahaha,0,,,Growled bangt with the law in PDG hahaha,0.2,Positive,trust
infopandeglang,herry.1994,@hotmanparisofficial,2 hari,3,h,0,,,h,0.0,Neutral,anger
infopandeglang,herry.1994,@hotmanparisofficial,2 hari,3,h,0,,,h,0.0,Neutral,disgust
info.banten,nrhsnh110,,1 hari,3,"Dari februari, dan disidangkan di Mei. Berapa bulan makirnyavtuh ya. Alot banget emang.",0,,,"From February, and tried in May. How many months is it. Really tough.",0.055555556,Positive,fear
pandeglangeksis,miladewi93,,5 jam,3,Giliran udah viral aja baru bilang miskom gak sih 😂 maaf kalo salah hahaa,0,,,It's just a viral turn just saying miskom or not 😂 sorry if it's wrong hahaa,-0.125,Negative,negative
infopandeglang,evi_septiani1609,,2 hari,3,spill pelakunya kak,0,@jujun_feb,jujun_feb,Spill the culprit sis,0.0,Neutral,joy
infopandeglang,yesita.rmdhnt,,2 hari,3,"yaaah ga seru, akunnya di gembok wkwk",0,@tanwiruljojo,tanwiruljojo,"yaaah not exciting, the account is in a padlock",-0.15,Negative,positive
infopandeglang,icha_khairatunnisa,,2 hari,3,"cuma bisa liat bio nya, ""I believe in god"" tapi kelakuan kek penyembah Lucifer",0,@tanwiruljojo,tanwiruljojo,"I can only see the bio, ""I believe in God"" but the behavior of Lucifer's worshipers",0.0,Neutral,trust
infopandeglang,hendri.febriansyah7,@tanwiruljojo,2 hari,3,jadi kota konoha bang 😂,0,,tanwiruljojo,So the city of Konoha bang 😂,0.0,Neutral,anger
infopandeglang,pengabdibeceng,,2 hari,3,"kampung soge masjid, panimbang jaya, panimbang",0,@tikka_aquariuss,aziz.khakim,"Kampung SOGE Masjid, Panimbang Jaya, Panimbang",0.0,Neutral,disgust
infopandeglang,__fahm1,@dony_ferdianto,2 hari,3,Percuma bang kalo belum tembus lambe turah pura2 ga tau….,0,,dony_ferdianto,"It's useless if you haven't penetrated Lambe Turah, I don't know ...",-0.5,Negative,fear
infopandeglang,adamsyaron46,,,3,kasih paham aja saudara kalau jiwa petarung itu bukan berani sama wanita toh🤙,0,@tegarpnca46,tegarpnca46,Just love you if the soul of the fighter is not brave with women anyway,0.05,Positive,negative
infopandeglang,d.daeseaa,,2 hari,3,"ada yg cek mah di dikti akuntansi untirta a, tapi urang teberani bilang pasti yah",0,@fidzsidik99,d.daeseaa,"there are those who check mah at the DIKTI Accounting Untirta A, but Urang Teberani says for sure",0.5,Positive,sadness
infoserang,jak_bayu90,,1 hari,3,anaknya siapa bukan nama nya siapa 😂,0,@ayunasn,dimaspashaofficial,Who's the child who is not the name who is 😂,0.0,Neutral,trust
infoserang,daniel.pard.s,,1 hari,3,malah ketawa lw bang..,0,@agung_cahyana28,agung_cahyana28,"even laughing, sir ..",0.0,Neutral,positive
infoserang,baryaf,,1 hari,3,"kalau bingung ya dibaca slidenya sampai akhir, hadeh. 😑",0,@agung_cahyana28,agung_cahyana28,"If you are confused, you read the slide until the end, Hadeh. 😑",-0.4,Negative,positive
infoserang,irfan00_00,,1 hari,3,Maksud dari komen lu ini nanya prihal apa? Prihal definisi pemerkosaan atau prihal postingan di atas?,0,@agung_cahyana28,agung_cahyana28,What do you mean by your comment? What do you ask? Prihal Definition of Rape or Prihal Post above?,-0.15625,Negative,joy
infoserang,ahmad_jazili,,1 hari,3,"ga tau kronologi, ga mau baca... Yang begini lah",0,@agung_cahyana28,agung_cahyana28,"don't know chronology, don't want to read ... this is",0.0,Neutral,positive
infoserang,nasi_liwet_tangerang,,1 hari,3,Kak kok bisa centang biru tp followernya.Postingannya cuma satu😮...suhu iniih,0,,myusuf.insta,"Sis, how can I check the blue but the follower is only one ... this temperature",0.0,Neutral,negative
infoserang,muhamadirfan271094,@nasi_liwet_tangerang,1 hari,3,kirim nasi liwet dlu kak wkwk,0,,myusuf.insta,"Send liwet rice, sis, sis",0.0,Neutral,disgust
infoserang,adisuparto,@pandeglangeksis,1 hari,2,Up gan,0,,,Up bro,0.0,Neutral,negative
infoserang,msyukron10,,1 hari,2,Usut tuntas agar jera dan sm2 bs mrsakan dmpak dr klkuanya..atagfirullah alwi,0,,,Investigate thoroughly so that the deterrent and SM2 can make it with the klki..atagfirullah alwi,0.0,Neutral,anger
infoserang,gmarethaaa,,1 hari,2,KAWAL AMPE KELAR !!!,0,,,Guard until finished !!!,0.0,Neutral,anticipation
infoserang,agus_erwiyandi,,1 hari,2,Up up up up up,0,,,Up up up up,0.0,Neutral,disgust
infoserang,sanik_rdfth,,1 hari,2,"Paling gk kuat dan gak tega kalau denger berita begini. Apa kudu bawa setruman atau apa gitu ya buat melindungi diri, dan kalau bisa mh si pelaku di kirim ke kamp gulag Russia or Korea utara",0,,,"The most strong and can't bear to hear this news. What should I bring a stretch or something like that to protect themselves, and if possible, the perpetrators are sent to the Gulag Russia or North Korean camp",0.311111111,Positive,fear
infoserang,pyckunder,,1 hari,2,"Ketika islam mengajarkan jgn pacaran, tp awal dari pacaran dianggap hal biasa",0,,,"When Islam teaches not dating, but the beginning of dating is considered normal",0.15,Positive,negative
infoserang,dianfdlhhh_,,1 hari,2,ga kebayang mba nya selama 3 thn jalanin hidupnya pasti kesiksa bgt🥺,0,,,I can't imagine the mba for 3 years to live his life must be tortured so much,0.168181818,Positive,sadness
infoserang,dhika_zaka,,1 hari,2,Parah bener nih org,0,,,This is really bad,-0.7,Negative,anticipation
infoserang,evitayyyy,@shelawt8604,1 hari,2,kamu hati hati kalo bergaul naudzubillah mindzalik,0,,,You are careful if you hang out Naudzubillah Mindzalik,-0.1,Negative,joy
